고종이 러시아에 간 사건은?	ㅇㄱㅍㅊ	아관파천
19세기 후반 청나라에서 일어난 근대화운동. 태평천국운동과 애로호사건 등에 자극을 받아 증국번, 이홍장 등이 주동이 된 운동은?	ㅇㅁㅇㄷ	양무운동
지구와 환경을 고려한 ‘사회적웰빙’ 즉 건강과 지속적인 성장을 추구하는 생활방식이나 이를 실천하려는 사람	ㄹㅎㅅ	로하스
다음에서 공통으로 의미하는 것은? [동티모르, 심훈, 양희은]	ㅅㄹㅅ	상록수
피보험자의 부주의, 고의 등 도덕적요소에 기인하는 보험사고의 발생률이 증대하거나 손해가 확대될 염려가 있는 위험	ㅁㄹㅎㅈㄷ	모럴해저드
호메로스의 서사시 오디세이는 그리스의 오디세우스가 이것으로 트로이를 공격, 함락시키고 돌아오는 길에 겪은 일들을 담은 이야기이다	ㅌㄹㅇㅁㅁ	트로이목마
석회암의 풍화작용으로 생긴 적갈색 토양. 탄산칼슘이 물에 녹아 나오고 그 뒤에 철·알루미늄의 수산화물 따위가 남아서 생긴 점토질토양	ㅌㄹㄹㅅ	테라로사
고구려의 승려 화가. 일본에 건너가 불법을 강론하고 채화 및 맷돌, 종이, 먹 등의 제조법을 가르쳤다. 금당벽화(金堂壁畵)가 유명하다	ㄷㅈ	담징
푸치니가 작곡한 2막 3장의 오페라. 일본의 기녀와 미국의 해군장교 핑커턴에게 버림받아 스스로 목숨을 끊기까지의 비극적 이야기를 그렸다	ㄴㅂㅂㅇ	나비부인
백제왕이 왜왕 지(旨)에게 하사한 철제 칼. 길이 74.9cm로 일본 나라현 덴리시 이소노카미신궁[石上神宮]에 소장되어 있다	ㅊㅈㄷ	칠지도
라듐이 알파 붕괴할 때 생기는 희귀한 기체 방사성원소. 우라늄광, 지하수, 온천 따위에 들어 있다. 최근 지하철역에서 이것의 기준치가 초과하여 문제가 되고 있다	ㄹㄷ	라돈
이것은 컴퓨터들 사이에서 정보교환이 필요한 경우 이를 원활하게 하기 위해 여러 가지 통신방법에 대한 약속을 뜻하는 말이다	ㅍㄹㅌㅋ	프로토콜
그리스신화에 의하면 구름이 오가는 이 산꼭대기에 제우스와 헤라, 아테나 등 12신이 살고 있다고 하는데요. 이 산의 이름은?	ㅇㄹㅍㅅ	올림푸스
지구 경도 측정의 기준이 되는 자오선입니다. 런던의 그리니치 천문대를 지나는 이 경선을 무엇이라고 할까요?	ㅂㅊㅈㅇㅅ	본초자오선
